iter	MultiClass
0	0.9721352697
1	0.8704558646
2	0.7923433554
3	0.7167838412
4	0.6508663582
5	0.5923488676
6	0.5495529458
7	0.5093050671
8	0.4710714704
9	0.4368276876
10	0.4091703587
11	0.3875818361
12	0.3654142451
13	0.345115403
14	0.323026279
15	0.3066948527
16	0.2898844561
17	0.2759115504
18	0.2622069422
19	0.248342653
20	0.2393530199
21	0.229054216
22	0.2179499592
23	0.2085181259
24	0.2001536968
25	0.1942303713
26	0.1872292675
27	0.1813525167
28	0.1741365044
29	0.1690203083
30	0.1631427175
31	0.1567418327
32	0.1510076802
33	0.1460259797
34	0.1420723687
35	0.1381868517
36	0.13447605
37	0.131219136
38	0.1279395977
39	0.1232275885
40	0.1208050103
41	0.1168496293
42	0.1145089979
43	0.1120766782
44	0.1095455816
45	0.107192933
46	0.1043633503
47	0.1025389796
48	0.09968447141
49	0.09672366377
50	0.09458561605
51	0.09277285955
52	0.09078274276
53	0.08909502081
54	0.08696181491
55	0.08540142313
56	0.08328568848
57	0.08119850199
58	0.07927833001
59	0.07737672749
60	0.07569134403
61	0.0743874092
62	0.07264149477
63	0.07139266331
64	0.07035475493
65	0.06885004209
66	0.06759740831
67	0.06635774711
68	0.06533678546
69	0.06429153322
70	0.06319509144
71	0.06221244838
72	0.06097926601
73	0.05978366242
74	0.05894086422
75	0.05786901954
76	0.05702296961
77	0.05608223724
78	0.05478984165
79	0.05386433116
80	0.05315868512
81	0.05240560785
82	0.05164735723
83	0.05089430127
84	0.05007404473
85	0.04938984762
86	0.04866984491
87	0.04811176811
88	0.0474336929
89	0.04690187307
90	0.04618303525
91	0.04554145924
92	0.04501696689
93	0.04422862218
94	0.04374472482
95	0.04334975048
96	0.04273002004
97	0.04223372733
98	0.04169567194
99	0.04125547867
